pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol,stellar_luminosity,hz_inner,hz_outer,hz_center,hz_width,hz_position,in_habitable_zone,hz_distance_factor,esi_radius,esi_mass,esi_temperature,esi_composite,esi_surface,escape_velocity_ratio,atmospheric_retention,stellar_flux,stellar_class,stellar_temp_habitability,stellar_mass_habitability,stellar_lifetime_gyr,hz_score,esi_score,atm_score,stellar_score,habitability_score
Kepler-200 c,Kepler-200,1.516,,0.09135,5785.0,0.972,,Transit,2014,10.22214214,,0.974,,114.1,0.9053821485439234,0.9039399255818336,1.303576524260118,1.1037582249209759,0.3996365986782845,0.08276269017749811,False,-1.0821654011593425,0.794912559618442,,,,,,,114.1,G,1.0,0.986,10.735798155101847,0.0,0.0,0.5,1.0,0.2
Kepler-149 c,Kepler-149,1.943,,0.2855,5455.0,1.013,,Transit,2014,55.3285813,,0.975,,9.3,1.0462441887370284,0.9717177472574885,1.4013192776239571,1.1865185124407227,0.42960153036646864,0.24061992881401695,False,-0.6186684060255423,0.6795786612300374,,,,,,,9.3,G,1.0,0.9935,9.682252106201334,0.0,0.0,0.5,1.0,0.2
Kepler-248 b,Kepler-248,2.915,,0.06302,4973.0,0.838,,Transit,2014,6.308203234,,0.773,,82.6,0.5387087941044189,0.69726945055641,1.0055359444866125,0.8514026975215112,0.30826649393020256,0.07401902787418378,False,-1.1306566229919215,0.5108556832694764,,,,,,,82.6,K,0.9,0.919,15.555714129247516,0.0,0.0,0.5,0.9,0.19
Kepler-1323 b,Kepler-1323,1.317,,0.01911,6063.0,1.076,,Transit,2016,0.929906678,,1.221,,4948.4,1.2922393144219035,1.0799286926764042,1.5573708515438673,1.3186497721101358,0.4774421588674631,0.014492096691769572,False,-1.8388687770000538,0.8631851532153647,,,,,,,4948.4,F,0.7,0.962,8.326631050389917,0.0,0.0,0.5,0.7,0.16999999999999998
Kepler-247 d,Kepler-247,4.974,,0.14081,5060.0,0.887,,Transit,2014,20.47735749,,0.788,,18.4,0.6572531397027079,0.770175927033359,1.1106747579323177,0.9404253424828384,0.3404988308989587,0.14973012065821653,False,-0.8246908254430904,0.33478406427854035,,,,,,,18.4,K,0.9,0.9435,13.495561244503333,0.0,0.0,0.5,0.9,0.19
Kepler-1327 b,Kepler-1327,1.776,,0.11151,5646.0,0.833,,Transit,2016,14.88801098,,1.045,,79.9,0.5275425629376657,0.6900051905973195,0.9950601169666609,0.8425326537819902,0.3050549263693414,0.13235095340156847,False,-0.8782729258734084,0.7204610951008645,,,,,,,79.9,G,1.0,0.9165,15.790195114520591,0.0,0.0,0.5,1.0,0.2
Kepler-1328 b,Kepler-1328,1.334,,0.052,5597.0,0.916,,Transit,2016,4.52158888,,1.294,,544.7,0.7355871905010872,0.8147806081561043,1.1749994033409086,0.9948900057485064,0.36021879518480426,0.0522670845013442,False,-1.2817717245108575,0.856898029134533,,,,,,,544.7,G,1.0,0.958,12.452636639526231,0.0,0.0,0.5,1.0,0.2
Kepler-247 c,Kepler-247,4.325,,0.08404,5060.0,0.887,,Transit,2014,9.439460801,,0.788,,51.7,0.6572531397027079,0.770175927033359,1.1106747579323177,0.9404253424828384,0.3404988308989587,0.0893638189057348,False,-1.0488382801985248,0.3755868544600939,,,,,,,51.7,K,0.9,0.9435,13.495561244503333,0.0,0.0,0.5,0.9,0.19
Kepler-247 b,Kepler-247,1.641,,0.04201,5060.0,0.887,,Transit,2014,3.336125104,,0.788,,206.7,0.6572531397027079,0.770175927033359,1.1106747579323177,0.9404253424828384,0.3404988308989587,0.044671275966562576,False,-1.3499716423944477,0.7572889057175313,,,,,,,206.7,K,0.9,0.9435,13.495561244503333,0.0,0.0,0.5,0.9,0.19
Kepler-246 c,Kepler-246,1.453,,0.09287,5088.0,0.853,,Transit,2014,11.18714042,,0.757,,39.9,0.573220362037218,0.7192575176795786,1.037245051811603,0.8782512847455908,0.3179875341320244,0.10574422333683497,False,-0.9757433482220507,0.8153281695882593,,,,,,,39.9,K,0.9,0.9265,14.88083914131118,0.0,0.0,0.5,0.9,0.19
Kepler-133 b,Kepler-133,2.013,,0.08356,5712.0,1.177,,Transit,2014,8.13000457,,1.615,,356.1,1.7689584003239773,1.2635208570864154,1.8221300781140939,1.5428254676002546,0.5586092210276785,0.05416037118571234,False,-1.2663183678946583,0.6637902422834385,,,,,,,356.1,G,1.0,0.9115,6.653633006770749,0.0,0.0,0.5,1.0,0.2
Kepler-133 c,Kepler-133,3.172,,0.20624,5712.0,1.177,,Transit,2014,31.51780202,,1.615,,58.6,1.7689584003239773,1.2635208570864154,1.8221300781140939,1.5428254676002546,0.5586092210276785,0.13367681849379265,False,-0.8739438991936014,0.4793863854266539,,,,,,,58.6,G,1.0,0.9115,6.653633006770749,0.0,0.0,0.5,1.0,0.2
Kepler-246 b,Kepler-246,2.21,,0.05137,5088.0,0.853,,Transit,2014,4.601816855,,0.757,,130.3,0.573220362037218,0.7192575176795786,1.037245051811603,0.8782512847455908,0.3179875341320244,0.05849123239811793,False,-1.2329092280457465,0.6230529595015577,,,,,,,130.3,K,0.9,0.9265,14.88083914131118,0.0,0.0,0.5,0.9,0.19
Kepler-1332 b,Kepler-1332,1.389,,0.09915,5581.0,0.921,,Transit,2016,11.87456832,,0.921,,75.3,0.7497365884488371,0.8225796442139055,1.1862464342874217,1.0044130392506636,0.3636667900735162,0.09871436961229642,False,-1.0056196235300827,0.8371703641691084,,,,,,,75.3,G,1.0,0.9605,12.28431444042897,0.0,0.0,0.5,1.0,0.2
Kepler-1336 b,Kepler-1336,2.618,,0.15845,5499.0,0.985,,Transit,2016,23.198681,,1.748,,99.8,0.9484770060511158,0.9252029496068049,1.334240043117182,1.1297214963619935,0.409037093510377,0.14025580686058603,False,-0.8530791490714197,0.552791597567717,,,,,,,99.8,G,1.0,0.9924999999999999,10.385069893269671,0.0,0.0,0.5,1.0,0.2
Kepler-1336 c,Kepler-1336,2.097,,0.06272,5499.0,0.985,,Transit,2016,5.77721211,,1.748,,637.6,0.9484770060511158,0.9252029496068049,1.334240043117182,1.1297214963619935,0.409037093510377,0.0555181079602143,False,-1.255565342921357,0.6457862447529867,,,,,,,637.6,G,1.0,0.9924999999999999,10.385069893269671,0.0,0.0,0.5,1.0,0.2
Kepler-132 e,Kepler-132,1.125,,0.43927,5910.0,0.929,,Transit,2016,110.2869374,,1.038,,6.1,0.7727784434270255,0.8351242693113945,1.2043371041648532,1.0197306867381237,0.3692128348534587,0.4307706002308515,False,-0.3657539446340585,0.9411764705882353,,,,,,,6.1,G,1.0,0.9645,12.021556862794746,0.0,0.0,0.5,1.0,0.2
Kepler-248 c,Kepler-248,3.902,,0.11837,4973.0,0.838,,Transit,2014,16.23946714,,0.773,,23.4,0.5387087941044189,0.69726945055641,1.0055359444866125,0.8514026975215112,0.30826649393020256,0.13902939272401038,False,-0.8568933742179037,0.40799673602611175,,,,,,,23.4,K,0.9,0.919,15.555714129247516,0.0,0.0,0.5,0.9,0.19
Kepler-132 d,Kepler-132,1.399,,0.13125,5910.0,0.929,,Transit,2014,18.01017554,,1.038,,68.6,0.7727784434270255,0.8351242693113945,1.2043371041648532,1.0197306867381237,0.3692128348534587,0.12871045434538955,False,-0.8903861766377971,0.8336807002917882,,,,,,,68.6,G,1.0,0.9645,12.021556862794746,0.0,0.0,0.5,1.0,0.2
Kepler-251 c,Kepler-251,2.704,,0.1222,5492.0,0.891,,Transit,2014,16.5141282,,0.809,,35.8,0.6676855296480034,0.7762642530139611,1.119454764872765,0.947859508943363,0.343190511858804,0.12892205948983285,False,-0.8896727653849139,0.5399568034557235,,,,,,,35.8,G,1.0,0.9455,13.344605513163144,0.0,0.0,0.5,1.0,0.2
Kepler-1312 b,Kepler-1312,2.053,,0.06053,5756.0,0.995,,Transit,2016,5.448325286,,0.892,,213.8,0.9826091017334839,0.9417030924418106,1.3580349859424008,1.1498690391921058,0.4163318935005902,0.05264077728584481,False,-1.278677706619386,0.6550933508024894,,,,,,,213.8,G,1.0,0.9975,10.126102009890367,0.0,0.0,0.5,1.0,0.2
Kepler-251 b,Kepler-251,1.357,,0.05354,5492.0,0.891,,Transit,2014,4.79091735,,0.809,,186.2,0.6676855296480034,0.7762642530139611,1.119454764872765,0.947859508943363,0.343190511858804,0.05648516419873691,False,-1.2480656044405356,0.8485362749257531,,,,,,,186.2,G,1.0,0.9455,13.344605513163144,0.0,0.0,0.5,1.0,0.2
Kepler-250 d,Kepler-250,2.098,,0.1235,5007.0,0.806,,Transit,2014,17.64830992,,0.748,,20.7,0.4700809440778163,0.6513432674329483,0.939305554087515,0.7953244107602317,0.2879622866545667,0.15528254675591974,False,-0.8088773547901427,0.6455777921239509,,,,,,,20.7,K,0.9,0.903,17.145983264247707,0.0,0.0,0.5,0.9,0.19
Kepler-250 c,Kepler-250,2.269,,0.06767,5007.0,0.806,,Transit,2014,7.15681773,,0.748,,68.9,0.4700809440778163,0.6513432674329483,0.939305554087515,0.7953244107602317,0.2879622866545667,0.08508477683379018,False,-1.0701481359023584,0.6118078923218109,,,,,,,68.9,K,0.9,0.903,17.145983264247707,0.0,0.0,0.5,0.9,0.19
Kepler-250 b,Kepler-250,1.087,,0.04704,5007.0,0.806,,Transit,2014,4.14808732,,0.748,,142.3,0.4700809440778163,0.6513432674329483,0.939305554087515,0.7953244107602317,0.2879622866545667,0.05914567610848959,False,-1.2280769993177452,0.9583133684714902,,,,,,,142.3,K,0.9,0.903,17.145983264247707,0.0,0.0,0.5,0.9,0.19
Kepler-1312 c,Kepler-1312,0.958,,0.02103,5756.0,0.995,,Transit,2021,1.116128999,,0.892,,1770.2,0.9826091017334839,0.9417030924418106,1.3580349859424008,1.1498690391921058,0.4163318935005902,0.018289039258571227,False,-1.737809107845617,0.9785495403472931,,,,,,,1770.2,G,1.0,0.9975,10.126102009890367,0.0,0.0,0.5,1.0,0.2
