pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,stellar_luminosity,hz_position,in_habitable_zone,esi_radius,esi_mass,esi_temperature,esi_surface,escape_velocity_ratio,stellar_flux,habitability_score,ml_target,is_habitable_optimized,is_habitable_relaxed,habitability_class_ml,pl_name,hostname
1.813,,0.22272,5678.0,1.004,,1.014070140069972,0.190663355214756,False,0.7109847138286527,,,,,17.8,0.2,0,0,1,Moderate,Kepler-299 e,Kepler-299
1.803,,0.18202,5464.0,0.945,,0.8203729457662374,0.1732429043564264,False,0.7135212272565109,,,,,16.2,0.2,0,0,1,Moderate,Kepler-30 b,Kepler-30
12.159,,0.29552,5464.0,0.945,,0.8203729457662374,0.2812698774607799,False,0.1519872330724219,,,,,6.1,0.2,0,0,0,Limited,Kepler-30 c,Kepler-30
8.845,,0.52594,5464.0,0.945,,0.8203729457662374,0.5005789095550981,False,0.2031488065007618,,,,,1.9,0.2006677654541629,0,0,1,Limited,Kepler-30 d,Kepler-30
1.422,,0.03641,5656.0,1.022,,1.0791408564142244,0.030215071205898,False,0.8257638315441784,,,,,611.8,0.2,1,1,1,Promising,Kepler-301 b,Kepler-301
1.478,,0.06084,5656.0,1.022,,1.0791408564142244,0.0504884628444613,False,0.8071025020177562,,,,,218.7,0.2,1,1,1,Promising,Kepler-301 c,Kepler-301
2.09,,0.1132,5656.0,1.022,,1.0791408564142244,0.0939397434910095,False,0.6472491909385114,,,,,63.3,0.2,0,0,1,Limited,Kepler-301 d,Kepler-301
1.298,,0.11309,5843.0,0.851,,0.5685300968233042,0.1292973085453938,False,0.8703220191470844,,,,,131.7,0.2,1,1,1,Promising,Kepler-1199 b,Kepler-1199
1.209,,0.02869,4762.0,0.762,,0.3862267945020001,0.0397970938445057,False,0.9053870529651424,,,,,253.5,0.19,1,1,1,Promising,Kepler-1197 b,Kepler-1197
3.411,,0.19112,5703.0,1.021,,1.075449686504805,0.1588740983583738,False,0.4534119247336204,,,,,28.5,0.2,0,0,0,Limited,Kepler-302 b,Kepler-302
