pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
HD 110067 b,HD 110067,2.2,5.69,0.0793,5266.0,0.798,800.0,Transit,2023,9.113678,,0.788,4.54,
HD 110067 c,HD 110067,2.388,6.3,0.1039,5266.0,0.798,699.0,Transit,2023,13.673694,,0.788,4.54,
HD 88986 b,HD 88986,2.49,17.2,0.58,5861.0,1.25,460.0,Radial Velocity,2023,146.05,0.24,1.543,4.16,
HIP 113103 b,HIP 113103,1.829,,0.06899,4930.0,0.761,721.0,Transit,2023,7.610303,0.17,0.742,4.6,
TOI-262 b,TOI-262,2.07,,0.163,5310.0,0.913,584.0,Transit,2023,11.14529,,0.853,4.54,
GJ 367 b,GJ 367,0.699,0.633,0.00709,3522.0,0.455,1365.0,Transit,2021,0.3219225,0.06,0.458,4.776,579.0
TOI-1470 b,TOI-1470,2.18,7.32,0.0285,3709.0,0.471,734.0,Transit,2023,2.527093,0.3,0.469,4.77,46.3
TOI-1470 c,TOI-1470,2.47,7.24,0.106,3709.0,0.471,373.0,Transit,2023,18.08816,0.5,0.469,4.77,3.35
TOI-615 b,TOI-615,18.97680433,138.25535705,0.0678,6850.0,1.449,1666.0,Transit,2023,4.6615983,0.39,1.732,4.2,1286.0
K2-416 b,K2-416,2.66,1652.7077164,0.088,3746.0,0.548,447.0,Transit,2023,13.102,,0.554,4.691,
TOI-411 b,HD 22946,1.362,13.71,0.05727,6169.0,1.098,1241.0,Transit,2022,4.040295,,1.117,4.47,495.139
TOI-411 c,HD 22946,2.328,9.72,0.1017,6169.0,1.098,931.0,Transit,2022,9.573083,,1.117,4.47,156.75
K2-3 d,K2-3,1.458,2.2,0.2014,3844.0,0.549,305.2,Transit,2015,44.55603,0.091,0.546,4.704,1.44
K2-3 c,K2-3,1.582,2.68,0.1357,3844.0,0.549,371.8,Transit,2015,24.646729,0.048,0.546,4.704,3.17
K2-417 b,K2-417,3.31,699.2224954,0.063,3861.0,0.569,558.0,Transit,2023,6.535,,0.5776,4.67,
HD 22946 d,HD 22946,2.607,26.57,0.2958,6169.0,1.098,546.0,Transit,2023,47.42489,,1.117,4.47,18.561
HD 15906 c,HD 15906,2.93,,0.141,4757.0,0.79,532.0,Transit,2023,21.583298,0.04,0.762,4.49,13.37
LP 791-18 d,LP 791-18,1.032,0.9,0.01992,2960.0,0.139,395.5,Transit,2023,2.753436,0.0015,0.182,5.115,5.83
EPIC 229004835 b,EPIC 229004835,2.332,10.4,0.1237,5868.0,0.97,804.0,Transit,2023,16.141132,0.23,0.999,,69.7
K2-110 b,K2-110,2.592,15.9,0.10207,5010.0,0.738,638.0,Transit,2017,13.86375,0.13,0.713,,27.7
K2-111 b,K2-111,1.82,5.58,0.0565,5775.0,0.84,1309.0,Transit,2017,5.3518,0.1,1.25,,490.0
K2-36 b,K2-36,1.43,4.3,0.02288,4916.0,0.79,1328.0,Transit,2016,1.422614,0.093,0.718,,519.0
K2-38 b,K2-38,1.655,7.7,0.0503,5705.0,1.054,1310.0,Transit,2016,4.01593,0.11,1.141,,490.0
K2-38 c,K2-38,2.49,7.4,0.0959,5705.0,1.054,949.0,Transit,2016,10.56103,0.086,1.141,,135.3
Kepler-78 b,Kepler-78,1.201,1.68,0.00901,5058.0,0.779,2223.0,Transit,2013,0.35500745,0.0,0.7475,,4070.0
K2-36 c,K2-36,3.2,7.9,0.05528,4916.0,0.79,854.0,Transit,2016,5.340888,0.089,0.718,,89.0
Kepler-22 b,Kepler-22,2.1,9.1,0.812,5596.0,0.857,279.0,Transit,2011,289.863876,0.72,0.869,,1.013
HD 80653 b,HD 80653,1.613,5.72,0.01661,5959.0,1.18,2463.0,Transit,2020,0.719573,0.0,1.22,,6130.0
K2-263 b,K2-263,2.41,14.9,0.2573,5368.0,0.88,470.0,Transit,2018,50.818947,0.15,0.85,,8.17
K2-141 c,K2-141,7.0,8.0,0.0683,4570.0,0.708,695.0,Transit,2018,7.7485,0.092,0.681,,39.1
K2-12 b,K2-12,2.44,5.2,0.0792,5672.0,0.965,1026.0,Transit,2015,8.28246,0.5,1.117,,185.0
K2-136 b,K2-136,1.014,4.3,0.0707,4500.0,0.742,610.0,Transit,2017,7.9752,0.14,0.677,4.68,33.5
K2-136 d,K2-136,1.565,3.0,0.1538,4500.0,0.742,420.0,Transit,2017,25.575,0.071,0.677,4.68,7.07
V1298 Tau d,V1298 Tau,6.43395492,98.52680617,0.1103,5050.0,1.17,,Transit,2019,12.4058,0.2,1.278,,
TOI-2338 b,TOI-2338,11.2089807,1900.61387386,0.158,5581.0,0.99,799.0,Transit,2023,22.65398,0.676,1.05,4.4,
TOI-181 b,TOI-181,6.9559,46.1687,0.0539,4994.0,0.822,895.1,Transit,2023,4.532,0.1543,0.745,4.608,102.43
TOI-1811 b,TOI-1811,11.14172682,308.9292116,0.04389,4766.0,0.817,962.2,Transit,2023,3.7130765,0.052,0.769,4.579,
TIC 279401253 b,TIC 279401253,11.2089807,1951.46641898,0.369,5951.0,1.13,,Transit,2023,76.8,0.448,1.06,4.438,
TOI-2152 A b,TOI-2152,14.35870428,899.45439181,0.05064,6630.0,1.516,1802.0,Transit,2023,3.3773512,0.057,1.612,4.205,
MASCARA-1 b,MASCARA-1,17.90074218,,0.040352,7490.0,1.9,2594.3,Transit,2017,2.14877381,0.00034,2.082,,
NGTS-25 b,NGTS-25,11.46678726,203.09235207,0.0388,5321.0,0.91,1101.0,Transit,2022,2.823093,0.0,0.86,4.48,
TOI-1260 c,TOI-1260,2.76,13.2,0.0657,4227.0,0.679,651.0,Transit,2021,7.493134,0.0,0.672,4.57,29.81
TOI-1260 b,TOI-1260,2.41,8.56,0.0367,4227.0,0.679,871.0,Transit,2021,3.127463,0.0,0.672,4.57,95.58
HD 114082 b,HD 114082,11.2089807,2542.627256,0.5109,6651.0,1.47,,Radial Velocity,2022,109.75,0.395,1.49,4.19,
TRAPPIST-1 g,TRAPPIST-1,1.129,1.321,0.04683,2566.0,0.0898,,Transit,2017,12.352446,,0.1192,5.2396,0.252
TRAPPIST-1 d,TRAPPIST-1,0.788,0.388,0.02227,2566.0,0.0898,,Transit,2016,4.049219,,0.1192,5.2396,1.115
NGTS-23 b,NGTS-23,14.20177855,194.82881349,0.0504,6057.0,1.01,1327.0,Transit,2022,4.0764326,0.0,1.24,4.04,
K2-414 c,K2-414,1.9287,,0.0552,4343.0,0.814,,Transit,2022,6.669,,0.732,4.621,56.13
K2-414 b,K2-414,1.219,,0.0487,4343.0,0.814,,Transit,2022,4.3696,,0.732,4.621,72.113
K2-413 c,K2-413,1.2327,,0.0426,4116.0,0.808,,Transit,2022,5.3301,,0.7,4.656,69.529
